Name,Price,Ingredients,Product_Link
La Roche-Posay Toleraine Dermo Cleanser 400ml,£22.00,"609129, Aqua / Water, Ethylhexyl Palmitate, Glycerin, Dipropylene Glycol, Carbomer, Sodium Hydroxide, Capryl Glycol/Caprylyl Glycol, Ethylhexylglycerin, (Code F.I.L: B3089/6).",https://www.lookfantastic.com/la-roche-posay-toleraine-dermo-cleanser-400ml/12631146.html
Medik8 Daily Refresh Balancing Toner 150ml,£17.00,"Aqua (Water), Niacinamide, Glycerin, Inulin, Alpha-Glucan Oligosaccharide, Allantoin, Butylene Glycol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Phenoxyethanol, Anthemis Nobilis (Chamomile) Flower Water, Rosmarinus Officinalis (Rosemary) Water, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Beta-Glucan, Caprylyl Glycol.",https://www.lookfantastic.com/medik8-daily-refresh-balancing-toner-150ml/11795614.html
Avène Thermal Spring Water Spray for Sensitive Skin 300ml,£11.63,"Avene Thermal Spring Water (Avene Aqua), Nitrogen.",https://www.lookfantastic.com/avene-thermal-spring-water-spray-for-sensitive-skin-300ml/11117568.html
Origins Super Spot Remover Blemish Treatment Gel 10ml,£13.60,"Active Ingredient: Salicylic Acid 1.50%. Ingredients: Water\Aqua\Eau; Alcohol Denat.; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Hamamelis Virginiana (Witch Hazel); Eugenia Caryophyllus (Clove) Bud Oil*, Origanum Heracleoticum Flower Oil*, Eugenol, Limonene; Cucumis Sativus (Cucumber) Fruit Extract; Pyrus Malus (Apple) Fruit Extract; Scutellaria Baicalensis Root Extract; Algae Extract; Poria Cocos Sclerotium Extract; Laminaria Saccharina Extract; Lactobacillus Ferment; Glycerin; Caffeine; Butylene Glycol; Tocopheryl Acetate; Magnesium Ascorbyl Phosphate; Sodium Hydroxide; Phenoxyethanol <Iln37864>.",https://www.lookfantastic.com/origins-super-spot-remover-blemish-treatment-gel-10ml/11138378.html
Elizabeth Arden Eight Hour Cream Skin Protectant 50ml,£22.40,"Petrolatum, Lanolin, Mineral Oil/Paraffinum, Liquidum/Huile Minerale, Caprylyl Glycol, Glycine Soja,(Soybean) Oil, Parfum/Fragrance, Ricinus Communis (Castor) Seed Oil, Salicylic Acid, Tocopherol, Zea Mays (Corn) Oil,Bht, Citral, Citronellol, Geraniol, Limonene, Linalool, Phenoxyethanol, Iron Oxides (Ci 77491, Ci 77492).",https://www.lookfantastic.com/elizabeth-arden-eight-hour-cream-skin-protectant-50ml/10026014.html
StylPro Bamboo Face Cloths Pack of 3,£6.39,,https://www.lookfantastic.com/stylpro-bamboo-face-cloths-pack-of-3/14227025.html
The INKEY List Polyglutamic Acid Serum 30ml,£14.99,"Water (Aqua / Eau), Dimethicone, Butylene Glycol, Bis-PEG-12 Dimethicone, Glycerin, Polymethylsilsesquioxane, Polysilicone-11, Phenoxyethanol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Propanediol, Coco-Glucoside, Sodium Benzoate, Hydroxyethylcellulose, Polysorbate 80, Ethylhexylglycerin, Potassium Sorbate, Decyl Glucoside, Dimethylacrylamide/Acrylic Acid/Polystyrene Ethyl Methacrylate Copolymer, Sorbitan Oleate, Trisodium Ethylenediamine Disuccinate, Polyglutamic Acid, Caprylyl Glycol, Hexylene Glycol, Oryza Sativa (Rice) Bran Extract.",https://www.lookfantastic.com/the-inkey-list-polyglutamic-acid-serum-30ml/12211787.html
Drunk Elephant Slaai Makeup-Melting Butter Cleanser,£34.00,"Butter Cleanser: Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Lauryl Laurate, Polyglyceryl-3 Laurate, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Wax, Polyglyceryl-10 Laurate, Sclerocarya Birrea Seed Oil, Euterpe Oleracea Fruit Oil, Actinidia Chinensis (Kiwi) Fruit Extract, Fragaria Ananassa (Strawberry) Seed Extract, Vaccinium Macrocarpon (Cranberry) Seed Oil, Borago Officinalis Seed Oil, Adansonia Digitata Seed Oil, Polyglyceryl-2 Caprate, Citrullus Lanatus (Watermelon) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Schinziophyton Rautanenii Kernel Oil, Vaccinium Angustifolium (Blueberry) Fruit Extract, Ximenia Americana Seed Oil, Tocopherol, Glycerin.",https://www.lookfantastic.com/drunk-elephant-slaai-makeup-melting-butter-cleanser/13344894.html
Dr.Jart+ Ceramidin Cream 50ml,£34.20,"Water\Aqua\Eau, Glycerin, Caprylic/Capric Triglyceride, Dipropylene Glycol, Cetearyl Alcohol, Hydrogenated Polydecene, Methyl Trimethicone, Hydrogenated Poly(C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, 1,2-Hexanediol, Phenyl Trimethicone, Dicaprylyl Ether, Cetearyl Olivate, Panthenol, Glyceryl Stearate, Behenyl Alcohol, Sorbitan Olivate, Theobroma Cacao (Cocoa) Seed Extract, 2,3-Butanediol, Cetearyl Glucoside, Ceramide Np, Ceramide Ng, Ceramide Ns, Ceramide As, Ceramide Ap, Cholesterol, Pentaerythrityl Distearate, Hydrogenated Lecithin, Palmitic Acid, Stearic Acid, Microcrystalline Cellulose, Glyceryl Stearate Se, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Cellulose Gum, Dextrin, Glyceryl Polymethacrylate, Pelargonium Graveolens Flower Oil, Olea Europaea (Olive) Fruit Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Salvia Officinalis (Sage) Oil, Citronellol, Tocopherol, Yellow 5 (Ci 19140).",https://www.lookfantastic.com/dr.jart-ceramidin-cream-50ml/14869945.html
Neutrogena Hydro Boost Express Hydrating Spray 200ml,£5.49,"[PR-018323], Aqua, Glycerin, Isopropyl Palmitate, Petrolatum, Dimethicone, Sodium Hyaluronate, Polysorbate 60, Cetearyl Olivate, Sorbitan Olivate, C12-20 Alkyl Glucoside, C14-22 Alcohols, Isohexadecane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hydroxide, Tocopherol, Chlophenesin, Parfum, Benzyl Alcohol.",https://www.lookfantastic.com/neutrogena-hydro-boost-express-hydrating-spray-200ml/11671615.html
Clinique Take The Day Off Lids Lashes and Lips Makeup Remover 125ml,£21.50,"Water\Aqua\Eau, Isohexadecane, Dimethicone, Cyclopentasiloxane, Trisiloxane, Peg-4 Dilaurate, Lauryl Methyl Gluceth-10 Hydroxypropyldimonium Chloride, Hexylene Glycol, Sodium Chloride, Potassium Phosphate, Dipotassium Phosphate, Dipotassium Edta, Phenoxyethanol.",https://www.lookfantastic.com/clinique-take-the-day-off-lids-lashes-and-lips-makeup-remover-125ml/11144729.html
Revolution Skincare Recycled and Reusable Microfibre Cleansing Cloths,£4.00,,https://www.lookfantastic.com/revolution-skincare-recycled-and-reusable-microfibre-cleansing-cloths/13997836.html
Elemis Superfood Glow Priming Moisturiser 60ml,£46.00,"Aqua/Water/Eau, Dicaprylyl Carbonate, Cetearyl Alcohol, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Octyldodecanol, Olus Oil/Vegetable Oil/Huile Végétale, Caprylyl Glycol, Mica, Propylene Glycol, Cetyl Palmitate, Phenoxyethanol, Polyacrylate-13, Sorbitan Palmitate, Tocopherol, Alpha-Glucan Oligosaccharide, Fragrance (Parfum), Polyisobutene, Disodium EDTA, Xanthan Gum, Synthetic Fluorphlogopite, Sorbitan Oleate, Saccharomyces/Xylinum/Black Tea (Kombucha) Ferment, Camellia Sinensis Seed Oil, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Polysorbate 20, Sorbitan Isostearate, 1,2-Hexanediol, Tin Oxide, Linalool, Limonene, Lactobacillus, Zingiber Officinale (Ginger) Root Extract, Geraniol, Hydroxyethyl Ethylcellulose, Citronellol, Sodium Hydroxide, Sodium Citrate, Citric Acid, Potassium Sorbate, Ribes Nigrum Bud Oil, Biotin, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides).",https://www.lookfantastic.com/elemis-superfood-glow-priming-moisturiser-60ml/14301031.html
LOOKFANTASTIC x Drunk Elephant Edit (Worth over £111),£75.00," Water/Aqua/Eau, Glycerin, Caprylic/Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Glyceryl Stearate SE, Cetearyl Alcohol, Palmitic Acid, Stearic Acid, Pentylene Glycol, Plantago Lanceolata Leaf Extract, Adansonia Digitata Seed Oil, Citrullus Lanatus (Watermelon) Seed Oil, Passiflora Edulis Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Oil, Polyglyceryl-6 Ximenia Americana Seedate, Cholesterol, Ceramide AP, Ceramide EOP, Sodium Hyaluronate Crosspolymer, Ceramide NP, Phytosphingosine, Ceteareth-20, Trisodium Ethylenediamine Disuccinate, Tocopherol, Sodium Lauroyl Lactylate, Sodium Hydroxide, Citric Acid, Carbomer, Xanthan Gum, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Ethylhexylglycerin.",https://www.lookfantastic.com/lookfantastic-x-drunk-elephant-edit/15061311.html
Revolution Pro Miracle Oil,£8.00,"Prunus Armeniaca(Apricot) Kernel Oil, Persea Gratissima Oil, Olea Europaea Fruit Oil, Helianthus Annuus Seed Oil, Caprylic/ Capric Triglyceride, Orbignya Oleifera Seed Oil, Silica Dimethyl Silylate, Cocoyl Hydrolyzed Collagen, Rubus Idaeus Seed Oil, Vaccinium Myrtillus Seed Oil, Oenothera Biennis Oil, Lavandula Angustifolia Flower Oil, Jasminum Officinale Flower Extract, Tocopheryl Acetate, Citrus Aurantium Amara Flower Oil, Acmella Oleracea Extract, Rosa Centifolia Flower Extract, Tocopherol, Combretum Farinosum Flower Nectar, Alcoholdenat, Limonene, Citronellol,Geraniol, Linalool.",https://www.lookfantastic.com/revolution-pro-miracle-oil/14272480.html
Liz Earle Cleanse & Polish 200ml Tube,£30.00,"Aqua (Water), Caprylic/Capric Triglyceride, Theobroma Cacao (Cocoa) Seed Butter, Cetearyl Alcohol, Cetyl Esters, Cera Alba (Beeswax), Glycerin, Polysorbate 60, Sorbitan Stearate, Eucalyptus Globulus Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Humulus Lupulus (Hops) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Propylene Glycol, Phenoxyethanol, Panthenol, Benzoic Acid, Dehydroacetic Acid, Sorbitol, Limonene, Ethylhexylglycerin, Polyaminopropyl Biguanide, Citric Acid, Sodium Hydroxide.",https://www.lookfantastic.com/liz-earle-cleanse-polish-200ml-tube/12528848.html
PIXI Glow Tonic 250ml (Worth £25.00),£18.00,"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, Glycolic Acid, Butylene Glycol, Glycerin, Sodium Hydroxide, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Hexylene Glycol, Fructose, Glucose, Sucrose, Urea, Dextrin, Alanine, Glutamic Acid, Aspartic Acid, Hexyl Nicotinate, Panax Ginseng Root Extract, Ethylhexylglycerin, Disodium EDTA, Biotin, Panthenol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Fragrance (Parfum), Caramel, Red 4 (CI 14700).",https://www.lookfantastic.com/pixi-glow-tonic-glycolic-acid-toner-250ml/11200055.html
Kiehl's Rare Earth Deep Pore Cleansing Masque 125ml,£33.50,"Aqua/Water, Kaolin, Bentonite, Propanediol, Glycerin, CI 77891/Titanium Dioxide, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Zea Mays Starch/Corn Starch, Phenoxyethanol, Ceteareth-20, Caprylyl Glycol, Xanthan Gum, Ethylhexylglycerin, Tocopherol, Lecithin, Aloe Barbadensis/Aloe Barbadensis Leaf Juice, Avena Sativa Flour/Oat Kernel Flour, Allantoin.",https://www.lookfantastic.com/kiehl-s-rare-earth-deep-pore-cleansing-masque-125ml/10356172.html
By Terry Cellularose CC Serum 30ml (Various Shades),£45.75,"Aqua, Glycereth-7, Bis-PEG-18 Methyl Ether Dimethyl Silane, Dimethicone, Butylene Glycol, PEG 7 Methyl Ether, PEG-32, Nylon-12, Boron Nitride, Cyclomethicone, Dimethicone Crosspolymer, Glycerin, Lecithin, Tocopherol, Acrylates/ Palmeth-25 Acrylate Copolymer, Phenoxyethanol, Chlorphenesin, Methylparaben, Ethylparaben, Parfum/ Fragrance, Polymethylsilsesquioxane, Sodium Styrene/Acrylates Copolymer, Potassium Hydroxide, Benzophenone-4, Cyclotetrasiloxane, Helianthus Annuus (Sunflower) Seed Oil, Potassium Sorbate, Xanthan Gum, Geraniol, Papain, BHT, Citronellol, Rosa Alba Flower Extract, 1,2 Hexanediol, Caprylyl Glycol, Carbomer, Rosmarinus Officinalis (Rosemary) Leaf Extract, Eugenol, Algin, May Contain (+/-):, Mica (CL 77019), Titanium Dioxide/CI 77891, Iron Oxides ( CI 77491), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Tin Oxide (CI 77861), Carmine (CI 75470).",https://www.lookfantastic.com/by-terry-cellularose-cc-serum-30ml-various-shades/11307081.html
CeraVe Best Sellers Duo,£19.50,"Cleanser: Purified Water, Glycerin, Behentrimonium Methosulfate, Cetearyl Alcohol, Ceramide 3, Ceramide 6-II, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium EDTA, Phytosphingosine, Carbomer, Xanthan Gum.",https://www.lookfantastic.com/cerave-best-sellers-duo/12033180.html
Medik8 Crystal Retinal 3 Serum 30ml,£49.00,"Aqua (Water), Caprylic/Capric Triglyceride, Glycerin, Isododecane, Cetearyl Olivate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, PPG-12/SMDI Copolymer, Sorbitan Olivate, Tocopheryl Acetate, Titanium Dioxide, Eclipta Prostrata Extract, Cyclodextrin, Squalane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Melia Azadirachta Leaf Extract, Hydroxypropyl Methylcellulose, Sodium Hyaluronate, Tetrahexyldecyl Ascorbate, Rubus Chamaemorus (Cloudberry) Seed Oil, Alumina, Isostearic Acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Stearic Acid, Pentylene Glycol, Retinal, Moringa Oleifera Seed Oil, Sodium Polyaspartate, Climbazole, Disodium EDTA, Lonicera Japonica (Honeysuckle) Flower Extract, Lonicera Caprifolium (Honeysuckle) Flower Extract, Daucus Carota Sativa (Carrot) Seed Oil, Ethylhexylglycerin, 3-O-Ethyl Ascorbic Acid, Dipteryx Odorata (Tonka) Bean Extract, Hydroxyacetophenone, Polysorbate 60, Sorbitan Isostearate, Vanilla Planifolia (Vanilla) Fruit Extract, Decylene Glycol, 1,2-Hexanediol, BHT, Coumarin.",https://www.lookfantastic.com/medik8-crystal-retinal-3-serum-30ml/12097972.html
CeraVe AM Facial Moisturising Lotion SPF50 for Normal to Dry Skin 52ml,£16.50,"Aqua / Water, Glycerin, Isopropyl Palmitate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Salicylate, Niacinamide, Pentylene Glycol, Butyl Methoxydibenzoylmethane, Ethylhexyl Triazone, Propanediol, Zea Mays Starch / Corn Starch, Potassium Cetyl Phosphate, Diisopropyl Sebacate, Oryza Sativa Cera / Rice Bran Wax, Stearic Acid, Ceramide Np, Ceramide Ap, Ceramide Eop, Carbomer, Glyceryl Stearate, Cetearyl Alcohol, Triethanolamine, Behentrimonium Methosulfate, Triethyl Citrate, Sodium Hyaluronate, Sodium Polyacrylate, Sodium Lauroyl Lactylate, Myristic Acid, Cholesterol, Palmitic Acid, Tocopherol, Caprylyl Glycol, Citric Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Phytosphingosine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butyrospermum Parkii Butter / Shea Butter, Benzoic Acid, Peg-100 Stearate.",https://www.lookfantastic.com/cerave-am-facial-moisturising-lotion-spf50-for-normal-to-dry-skin-52ml/13785964.html
Eve Lom Cleanser 200ml,£95.00,"Paraffinum Liquidum (Mineral Oil), Peg-30 Lanolin, Cetearyl Alcohol, Bis-Diglyceryl Polyacyladipate-2, Aluminum Stearate, Theobroma Cacao (Cocoa) Seed Butter, Peg-75 Lanolin, Eugenia Caryophyllus (Clove) Leaf Oil, Humulus Lupulus (Hops) Oil, Chamomilla Recutita (Matricaria) Flower Oil, Eucalyptus Globulus Leaf Oil, BHT.",https://www.lookfantastic.com/eve-lom-cleanser-200ml/10363611.html
Perricone MD High Potency Hyaluronic Intensive Serum 59ml,£66.40,"Water/Aqua/Eau, Dimethicone, Butylene Glycol, Niacinamide, Acetyl Glucosamine, Squalane, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Cetearyl Olivate, HDI/Trimethylol Hexyllactone Crosspolymer, Polyisobutene, Sorbitan Olivate, Dimethyl Isosorbide, Polysorbate 20, 1,2-Hexanediol, Caprylyl Glycol, Dimethyl MEA, Hydroxyacetophenone, Citric Acid, Ceramide NP, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Sodium Gluconate, Spermidine, Silica, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Phenoxyethanol, Phytosphingosine, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Ethylhexylglycerin, Acetyl Tetrapeptide-11, Acetyl Tetrapeptide-9, Glycerin, Disodium Acetyl Glucosamine Phosphate, Sodium Glucuronate, Magnesium Sulfate.",https://www.lookfantastic.com/perricone-md-high-potency-hyaluronic-intensive-serum-59ml/13156918.html
The Ordinary Niacinamide 10% + Zinc 1% 30ml,£5.00,"Aqua (Water), Niacinamide, Pentylene Glycol, Zinc PCA, Tamarindus Indica Seed Gum, Xanthan Gum, Isoceteth-20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://www.lookfantastic.com/the-ordinary-niacinamide-10-zinc-1-30ml/13187076.html
The INKEY List Retinol Serum 30ml,£9.74,"Water (Aqua/Eau), Glycerin, Butylene Glycol, Propanediol, Dicaprylyl Carbonate, Tocopherol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Polysorbate 60 , Sorbitan Isostearate , Phenoxyethanol , Caprylyl Glycol, Phospholipids, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols, Retinyl Acetate, Dimethicone, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Dimethyl Isosorbide, Hydroxypinacolone Retinoate, Carbomer, Glycerin, Butylene Glycol, Carbomer, Polysorbate 20 , Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Sodium Lactate, Tocopheryl Acetate, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Sodium Hydroxide, Tetrahexyldecyl Ascorbate.",https://www.lookfantastic.com/the-inkey-list-retinol-serum-30ml/12208009.html
Kiehl's Ultra Facial Cleanser (Various Sizes),£14.00,"Aqua/Water, Sodium Laureth Sulfate, Decyl Glucoside, Glycerin, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Acrylates Copolymer, PEG-200 Hydrogenated Glyceryl Palmate, Lauryl Glucoside, Sodium Chloride, Pentylene Glycol, Triethanolamine, Phenoxyethanol, PEG-7 Glyceryl Cocoate, Distearyl Ether, Behenyl Alcohol, Methylparaben, Laureth-2, Propylparaben, Sodium Methylparaben, Squalane, Prunus Amygdalus Dulcis Oil/Sweet Almond Oil, Prunus Armeniaca Kernel Oil/Apricot Kernel Oil, Tocopherol, Ascorbyl Glucoside, Persea Gratissima Oil/Avocado Oil, Sodium Hydroxide, Citric Acid.",https://www.lookfantastic.com/kiehl-s-ultra-facial-cleanser-various-sizes/12916104.html
